method,reference_method,metric,delta_method_minus_reference,ci_low,ci_high,n_paired_instances,win_rate_vs_reference
adam_xi,fixed_pimi,best_energy,-1.67793607711792,-1.67793607711792,-1.67793607711792,1,1.0
adamw_rms,fixed_pimi,best_energy,-1.1370420455932617,-1.1370420455932617,-1.1370420455932617,1,1.0
adaptive_q,fixed_pimi,best_energy,-0.9881467819213867,-0.9881467819213867,-0.9881467819213867,1,1.0
fixed_partial,fixed_pimi,best_energy,2.3533324003219604,2.3533324003219604,2.3533324003219604,1,0.0
heuristic_xi,fixed_pimi,best_energy,-0.2716178894042969,-0.2716178894042969,-0.2716178894042969,1,1.0
joint,fixed_pimi,best_energy,-1.7750864028930664,-1.7750864028930664,-1.7750864028930664,1,1.0
joint_restart,fixed_pimi,best_energy,1.7369606494903564,1.7369606494903564,1.7369606494903564,1,0.0
momentum_xi,fixed_pimi,best_energy,-0.1369647979736328,-0.1369647979736328,-0.1369647979736328,1,1.0
par0,fixed_pimi,best_energy,0.9239025115966797,0.9239025115966797,0.9239025115966797,1,0.0
seq,fixed_pimi,best_energy,2.2008872032165527,2.2008872032165527,2.2008872032165527,1,0.0
