family,n,p,method,n_trajectories,n_instances,best_energy_mean,best_energy_ci_low,best_energy_ci_high,mean_q,mean_q_ci_low,mean_q_ci_high,mean_O,mean_O_ci_low,mean_O_ci_high,mean_update_opportunities,mean_restarts,p_success,tts_wallclock_s,tts_ticks,tts_update_opportunities,p_success_ci_low,p_success_ci_high,tts_wallclock_s_ci_low,tts_wallclock_s_ci_high,tts_ticks_ci_low,tts_ticks_ci_high,tts_update_opportunities_ci_low,tts_update_opportunities_ci_high,mean_run_time_s,median_first_hit_tick_successes,median_first_hit_update_ops_successes,mean_flip_fraction,time_at_high_q,tsp_feasible_rate
tsp,4,0.3,seq,1,1,-1.9727578163146973,-1.9727578163146973,-1.9727578163146973,0.0625,0.0625,0.0625,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,0.027509999927133322,,,0.0,0.0,0.0
tsp,4,0.3,par0,1,1,-3.2497425079345703,-3.2497425079345703,-3.2497425079345703,1.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,0.0013639000244438648,,,0.5,1.0,0.0
tsp,4,0.3,fixed_pimi,1,1,-4.17364501953125,-4.17364501953125,-4.17364501953125,1.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,0.0011239999439567327,,,0.34375,1.0,0.0
tsp,4,0.3,fixed_partial,1,1,-1.8203126192092896,-1.8203126192092896,-1.8203126192092896,0.5,0.5,0.5,0.0,0.0,0.0,16.0,0.0,,,,,,,,,,,,,0.0007813000120222569,,,0.1875,0.0,0.0
tsp,4,0.3,heuristic_xi,1,1,-4.445262908935547,-4.445262908935547,-4.445262908935547,1.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,0.001465699984692037,,,0.5625,1.0,0.0
tsp,4,0.3,momentum_xi,1,1,-4.310609817504883,-4.310609817504883,-4.310609817504883,1.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,0.0021493000676855445,,,0.46875,1.0,0.0
tsp,4,0.3,adam_xi,1,1,-5.85158109664917,-5.85158109664917,-5.85158109664917,1.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,0.0014309999532997608,,,0.3125,1.0,0.0
tsp,4,0.3,adamw_rms,1,1,-5.310687065124512,-5.310687065124512,-5.310687065124512,1.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,0.0021391999907791615,,,0.5625,1.0,0.0
tsp,4,0.3,adaptive_q,1,1,-5.161791801452637,-5.161791801452637,-5.161791801452637,1.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,0.0010645000729709864,,,0.5625,1.0,0.0
tsp,4,0.3,joint,1,1,-5.948731422424316,-5.948731422424316,-5.948731422424316,1.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,0.0008600000292062759,,,0.46875,1.0,0.0
tsp,4,0.3,joint_restart,1,1,-2.4366843700408936,-2.4366843700408936,-2.4366843700408936,1.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,0.002597699989564717,,,0.5625,1.0,0.0
