method,best_energy,mean_q,mean_O,runtime
adam_xi,-44.51099399626255,1.0,0.07861899922136213,10.131632709297538
adamw_rms,-44.51300869584084,1.0,0.09062013525399375,10.066604255859875
adaptive_q,-44.35810965895653,0.7504531557206064,0.10515867624199013,11.493815944378094
fixed_partial,-44.143255388736726,0.5,0.04279733007133468,11.509346904925223
fixed_pimi,-44.50495753288269,1.0,0.13793202780652786,8.526797895547498
heuristic_xi,-44.35061138570309,1.0,0.36026860710699105,8.909068174922322
joint,-44.507315835356714,0.99980937265791,0.09060118817142207,10.057387636407203
joint_restart,-44.50807556211949,0.9999027829617262,0.09041875884286124,10.266280535618625
momentum_xi,-44.50621711909771,1.0,0.08006739234551782,9.06577432844233
par0,-44.215864706039426,1.0,0.43490491760894656,8.580991756791992
seq,-43.64913176894188,0.0099999997764825,1.6022404533799772e-05,11.27572560118333
