method,reference_method,metric,delta_method_minus_reference,ci_low,ci_high,n_paired_instances,win_rate_vs_reference
adam_xi,fixed_pimi,best_energy,-0.0060364633798599245,-0.017017465829849244,0.00269111692905426,5,0.6
adamw_rms,fixed_pimi,best_energy,-0.008051162958145142,-0.014541828632354736,-0.004056227207183838,5,1.0
adaptive_q,fixed_pimi,best_energy,0.14684787392616272,0.14275512397289275,0.1509406238794327,5,0.0
fixed_partial,fixed_pimi,best_energy,0.3617021441459656,0.3470285326242447,0.37277149558067324,5,0.0
heuristic_xi,fixed_pimi,best_energy,0.15434614717960357,0.14742457270622253,0.15970908105373383,5,0.0
joint,fixed_pimi,best_energy,-0.0023583024740219116,-0.009711322188377381,0.003907495737075805,5,0.8
joint_restart,fixed_pimi,best_energy,-0.003118029236793518,-0.011062324047088623,0.002843204140663147,5,0.6
momentum_xi,fixed_pimi,best_energy,-0.001259586215019226,-0.0064968974143265945,0.0034798413515090944,5,0.4
par0,fixed_pimi,best_energy,0.2890928268432617,0.28096574544906616,0.29893863797187803,5,0.0
seq,fixed_pimi,best_energy,0.8558257639408111,0.8472218245267868,0.8644297033548355,5,0.0
