family,n,p,method,n_trajectories,n_instances,best_energy_mean,best_energy_ci_low,best_energy_ci_high,mean_q,mean_q_ci_low,mean_q_ci_high,mean_O,mean_O_ci_low,mean_O_ci_high,mean_update_opportunities,mean_restarts,p_success,tts_wallclock_s,tts_ticks,tts_update_opportunities,p_success_ci_low,p_success_ci_high,tts_wallclock_s_ci_low,tts_wallclock_s_ci_high,tts_ticks_ci_low,tts_ticks_ci_high,tts_update_opportunities_ci_low,tts_update_opportunities_ci_high,mean_run_time_s,median_first_hit_tick_successes,median_first_hit_update_ops_successes,mean_flip_fraction,time_at_high_q,tsp_feasible_rate
tsp,10,0.3,seq,1280,5,-43.64913176894188,-43.68130316257477,-43.61628871902824,0.009999999776482582,0.009999999776482582,0.009999999776482582,1.6022404533799772e-05,1.5834882274035068e-05,1.621083639225418e-05,20000.0,0.0,,,,,,,,,,,,,0.4753968844535848,,,0.0032086220549899735,0.0,0.0
tsp,10,0.3,par0,1280,5,-44.215864706039426,-44.257226090207695,-44.17393755994737,1.0,1.0,1.0,0.43490491760894656,0.4340749048040015,0.4357141552271787,2000000.0,0.0,,,,,,,,,,,,,0.3627418789841613,,,0.5666882070247083,1.0,0.0
tsp,10,0.3,fixed_pimi,1280,5,-44.50495753288269,-44.539854606240986,-44.47069886103273,1.0,1.0,1.0,0.1379320278065279,0.13766426927846623,0.13818217319145334,2000000.0,0.0,,,,,,,,,,,,,0.3616883540626077,,,0.2804724235786125,1.0,0.00078125
tsp,10,0.3,fixed_partial,1280,5,-44.143255388736726,-44.17030796252191,-44.1147781175375,0.5,0.5,0.5,0.042797330071334724,0.042760963147011354,0.04282802839676151,1000000.0,0.0,,,,,,,,,,,,,0.48281545414083665,,,0.16547720613889397,0.0,0.0
tsp,10,0.3,heuristic_xi,1280,5,-44.35061138570309,-44.38075159646571,-44.3203302475065,1.0,1.0,1.0,0.3602686071069911,0.35994195657083766,0.3605849740112899,2000000.0,0.0,,,,,,,,,,,,,0.3760432175781716,,,0.4963221007026732,1.0,0.0
tsp,10,0.3,momentum_xi,1280,5,-44.50621711909771,-44.53690006539225,-44.47755890786648,1.0,1.0,1.0,0.08006739234551788,0.0799098811254953,0.08022717685249518,2000000.0,0.0,,,,,,,,,,,,,0.3838433663282558,,,0.20786474149208517,1.0,0.0
tsp,10,0.3,adam_xi,1280,5,-44.51099399626255,-44.54049006439745,-44.48249384470284,1.0,1.0,1.0,0.07861899922136217,0.078467275249277,0.0787779194941686,2000000.0,0.0,,,,,,,,,,,,,0.42856408562502113,,,0.20105344750918447,1.0,0.0015625
tsp,10,0.3,adamw_rms,1280,5,-44.51300869584084,-44.54482005514205,-44.483110358938575,1.0,1.0,1.0,0.09062013525399379,0.09050155001707025,0.09074246947144275,2000000.0,0.0,,,,,,,,,,,,,0.42574512085939203,,,0.21864203459117562,1.0,0.0
tsp,10,0.3,adaptive_q,1280,5,-44.35810965895653,-44.39437746241689,-44.323456374108794,0.7504531557206064,0.749873318662867,0.7508403644431383,0.10515867624199018,0.10497803351230686,0.10532414957764558,1500868.46484375,0.0,,,,,,,,,,,,,0.48230868656264647,,,0.259017879224848,0.9961288886799593,0.0
tsp,10,0.3,joint,1280,5,-44.507315835356714,-44.539274616315964,-44.47563930623233,0.99980937265791,0.9995295175153296,0.9999805761035532,0.09060118817142211,0.09048153856987483,0.09072421093849699,1999634.09375,0.0,,,,,,,,,,,,,0.42506862734380774,,,0.21861973328050227,1.0,0.00078125
tsp,10,0.3,joint_restart,1280,5,-44.50807556211949,-44.537750977501275,-44.47775049842894,0.9999027829617262,0.9995422209613025,1.0,0.09041875884286128,0.09028067374762032,0.09055028082817443,1999813.41875,0.04140625,,,,,,,,,,,,,0.43421706249973796,,,0.21839858135208487,1.0,0.00078125
