family,q,xi,n_instances,best_energy_mean,best_energy_across_seed_std,energy_gap_to_seed_best_mean,energy_gap_to_seed_best_std,O_mean,O_across_seed_std,flip_fraction_mean,flip_fraction_across_seed_std,runtime_s_mean,mean_update_opportunities,spectral_rho_D1_beta_max,spectral_radius_J,tsp_feasible_rate,constraint_violation_mean,constraint_violation_min,best_route_distance_mean,n_feasible_trajectories
tsp,0.0625,0.0,5,-43.5209358215332,0.07810633576114423,0.8375373840332045,0.0340902130847439,0.00057099398691202,1.3830324083406578e-05,0.018996266648173298,0.00016147739502605807,1.6438754400238396,18000.0,0.9542531036742169,1.084194387392303,0.0,10.48,7.2,,0
tsp,0.0625,0.1,5,-43.60597305297851,0.031523356613919515,0.7525001525878906,0.06705786603043362,0.00047909801942292,1.5144689108555491e-05,0.01715626642107958,0.00018645314454784705,1.5563049599761143,18000.0,0.9605031036742163,1.084194387392303,0.0,10.288,8.0,,0
tsp,0.0625,0.2,5,-43.755994415283205,0.06880148714934498,0.6024787902832032,0.04971243204787254,0.00039507494075218,1.5334543995912437e-05,0.0153397331014275,0.00016331694843115874,1.595582879986614,18000.0,0.9667531036742183,1.084194387392303,0.0,9.328,6.8,,0
tsp,0.0625,0.3,5,-43.808264923095706,0.054752207157658155,0.5502082824707045,0.03786264971724241,0.00031670187017874,1.134387394117595e-05,0.013537066616117898,0.00017043300252968626,1.537643519998528,18000.0,0.9730031036742168,1.084194387392303,0.0,8.959999999999999,6.0,,0
tsp,0.0625,0.4,5,-43.87674560546875,0.029430408267635686,0.48172760009765625,0.029049836017189135,0.00025632292963556,9.223498754203088e-06,0.012083199806511341,0.00017497156087010405,1.5044506599893794,18000.0,0.9792531036742164,1.084194387392303,0.0,8.608,5.6,,0
tsp,0.0625,0.6,5,-43.996002197265625,0.052127340183884686,0.36247100830078266,0.0301439987910916,0.00015353006019719998,4.360303683390179e-06,0.00908159967511886,0.00022197154918710788,1.575322900013998,18000.0,0.9917531036742167,1.084194387392303,0.0,7.856,4.4,,0
tsp,0.0625,0.8,5,-44.018462371826175,0.04334979914777079,0.3400108337402344,0.03455808221640659,8.585460745962337e-05,7.6235427466031304e-06,0.00660906620323652,0.00016642205808283496,1.516035999986343,18000.0,1.0042531036742184,1.084194387392303,0.0,7.664,4.8,,0
tsp,0.125,0.0,5,-43.60029296875,0.046426730827664325,0.7581802368164091,0.053530047524712,0.0023051171097903797,7.021870643476839e-05,0.0380810663104057,0.0004504267215294328,1.608313860022463,36000.0,0.9085062073484329,1.084194387392303,0.0,10.224,6.4,,0
tsp,0.125,0.1,5,-43.69629669189453,0.03510760057656598,0.662176513671875,0.055400620958914,0.0019293688237666598,6.719120009134855e-05,0.03428906798362726,0.0005813139243991621,1.5902920399792493,36000.0,0.9210062073484331,1.084194387392303,0.0,9.52,6.4,,0
tsp,0.125,0.2,5,-43.788475799560544,0.08948261342062823,0.5699974060058594,0.09706193333384396,0.00158032181207086,5.911271894867377e-05,0.03072319999337192,0.0004684016159171395,1.5668753000209108,36000.0,0.9335062073484319,1.084194387392303,0.0,9.28,6.0,,0
tsp,0.125,0.3,5,-43.88863067626953,0.06813338036523224,0.4698425292968736,0.045723979266454724,0.0012712307274341,4.5741528746219925e-05,0.027298133075237218,0.00031856481123208365,1.5552015400025994,36000.0,0.9460062073484312,1.084194387392303,0.0,8.544,6.0,,0
tsp,0.125,0.4,5,-43.964054870605466,0.035911132796995024,0.39441833496093465,0.04330826986731912,0.00100995198590676,4.093096237404616e-05,0.02382293343544002,0.00044557146728930867,1.5288247400196269,36000.0,0.9585062073484318,1.084194387392303,0.0,8.112,4.0,,0
tsp,0.125,0.6,5,-44.045468139648435,0.03774967867767839,0.31300506591797017,0.024086571367308303,0.00059446991654108,7.181059021036017e-06,0.01802026666700838,0.00026919839574715093,1.6053590600145982,36000.0,0.9835062073484335,1.084194387392303,0.0,7.632,4.8,,0
tsp,0.125,0.8,5,-44.11021881103515,0.07691142707649982,0.2482543945312486,0.06967449143720263,0.0003333181375637,9.292033946025138e-06,0.01316800042986864,0.00017543338472003137,1.572527019982226,36000.0,1.0085062073484319,1.084194387392303,0.0,7.072,4.4,,0
tsp,0.25,0.0,5,-43.668738555908206,0.07146043493845305,0.6897346496582045,0.06547346255404733,0.01010646596550938,2.694199245969313e-05,0.08007467389106744,0.0004611547501380223,1.5488020799821243,75000.0,0.817012414696862,1.084194387392303,0.0,9.888,6.4,,0
tsp,0.25,0.1,5,-43.77052001953125,0.042400954478736014,0.5879531860351562,0.017891176746681954,0.008478414267301521,7.700599816238911e-05,0.07237333804368969,0.0008619484399943746,1.5936257800087332,75000.0,0.8420124146968636,1.084194387392303,0.0,9.184,5.2,,0
tsp,0.25,0.2,5,-43.878091430664064,0.07507898643080048,0.48038177490234235,0.049033609716731465,0.00700396345928304,4.1409118886336535e-05,0.06473280042409893,0.0007614683702235903,1.575166180008091,75000.0,0.8670124146968614,1.084194387392303,0.0,8.672,6.4,,0
