family,n,n_spins,p,instance_seed,q,xi,best_energy_mean,best_energy_std,O_mean,flip_fraction_mean,runtime_s,mean_update_opportunities,spectral_rho_D1_beta_max,lambda_min,lambda_max,spectral_radius_J,n_cities,tsp_feasible_rate,constraint_violation_mean,constraint_violation_std,constraint_violation_min,best_route_distance_mean,n_feasible_trajectories,tsp_A,tsp_B
tsp,10,100,,100,0.0625,0.0,-43.413421630859375,0.23472960293293,0.0005594769609160721,0.019098665565252304,1.7775148000800982,18000.0,0.9539119775662016,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,10.96,1.3994284547628721,8.0,,0,4.0,1.0
tsp,10,100,,100,0.0625,0.1,-43.63694763183594,0.17698433995246887,0.0004609254829119891,0.01746666617691517,1.586262899916619,18000.0,0.960161977566202,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,10.24,1.3047605144240073,8.0,,0,4.0,1.0
tsp,10,100,,100,0.0625,0.2,-43.6793212890625,0.17112869024276733,0.00037782700383104384,0.01554133277386427,1.7725655999965966,18000.0,0.9664119775662025,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,9.68,1.085172797300043,8.0,,0,4.0,1.0
tsp,10,100,,100,0.0625,0.3,-43.71637725830078,0.13684304058551788,0.0003083334304392338,0.013738666661083698,1.4538003000197932,18000.0,0.9726619775662021,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,9.2,1.2649110640673518,8.0,,0,4.0,1.0
tsp,10,100,,100,0.0625,0.4,-43.842994689941406,0.24252113699913025,0.000252576544880867,0.012357334606349468,1.3853345999959856,18000.0,0.9789119775662016,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,8.56,1.7453939383417143,6.0,,0,4.0,1.0
tsp,10,100,,100,0.0625,0.6,-43.9541130065918,0.1938788741827011,0.00015538489969912916,0.009306666441261768,1.6327714000362903,18000.0,0.9914119775662036,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,8.0,1.4966629547095767,4.0,,0,4.0,1.0
tsp,10,100,,100,0.0625,0.8,-43.99473190307617,0.13147801160812378,8.335308666573837e-05,0.006773332599550486,1.485881199943833,18000.0,1.0039119775662066,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,7.68,1.2237646832622686,6.0,,0,4.0,1.0
tsp,10,100,,100,0.125,0.0,-43.605709075927734,0.2936296761035919,0.00228196126408875,0.03813866525888443,1.506982700084336,36000.0,0.9078239551324032,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,10.0,1.9595917942265424,4.0,,0,4.0,1.0
tsp,10,100,,100,0.125,0.1,-43.70750427246094,0.2333773821592331,0.0018949772929772735,0.033930666744709015,1.6786575999576598,36000.0,0.9203239551323994,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,9.36,1.5717506163510802,6.0,,0,4.0,1.0
tsp,10,100,,100,0.125,0.2,-43.81221008300781,0.19697797298431396,0.0015556993894279003,0.030405335128307343,1.5671139999758452,36000.0,0.9328239551324007,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,8.88,1.5051910177781425,6.0,,0,4.0,1.0
